"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"02-SEP-2026","ASTERDM","Aster DM Quality Care Ltd","CENTELLA MAURITIUS HOLDINGS LIMITED","SELL","46,09,800","760.00",
"02-SEP-2026","ASTERDM","Aster DM Quality Care Ltd","UNION (MAURITIUS) HOLDINGS LIMITED","BUY","46,09,800","760.00",
"02-SEP-2026","PINELABS","Pine Labs Limited","ALPHA WAVE VENTURES II LP","SELL","3,54,56,317","155.10",
"02-SEP-2026","PINELABS","Pine Labs Limited","EDELWEISS MUTUAL FUND","BUY","25,78,981","155.10",
"02-SEP-2026","PINELABS","Pine Labs Limited","GOLDMAN SACHS INVESTMENTS MAURITIUS I LIMITED","BUY","41,62,862","155.10",
"02-SEP-2026","PINELABS","Pine Labs Limited","ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED","BUY","1,03,15,925","155.10",
"02-SEP-2026","PINELABS","Pine Labs Limited","INTEGRATED CORE STRATEGIES (ASIA) PTE.LTD.","BUY","24,50,000","155.10",
"02-SEP-2026","PINELABS","Pine Labs Limited","JM FINANCIAL MUTUAL FUND","BUY","16,11,865","155.10",
"02-SEP-2026","PINELABS","Pine Labs Limited","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","24,48,742","155.10",
"02-SEP-2026","PINELABS","Pine Labs Limited","NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL","BUY","32,23,726","155.10",
"02-SEP-2026","PINELABS","Pine Labs Limited","SOCIETE GENERALE","BUY","45,31,963","155.10",
"02-SEP-2026","PINELABS","Pine Labs Limited","VIRIDIAN ASIA OPPORTUNITIES MASTER FUND","BUY","41,32,253","155.10",
