"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"24-SEP-2026","SANOFI","Aventis Pharma Limited","HOECHST GMBH","SELL","35,00,000","3,052.00",
"24-SEP-2026","SANOFI","Aventis Pharma Limited","SANOFI HEALTHCARE INDIA PRIVATE LIMITED","BUY","35,00,000","3,052.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","A91 EMERGING FUND II LLP","SELL","16,10,872","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","2,99,003","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","AMANSA HOLDINGS PRIVATE LIMITED","BUY","4,63,116","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","AXIS MUTUAL FUND","BUY","1,51,997","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","FRANKLIN TEMPLETON INVESTMENT FUNDS - FRANKLIN INDIA FUND","BUY","1,04,382","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","FRANKLIN TEMPLETON MUTUAL FUND","BUY","83,062","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","GOVERNMENT OF SINGAPORE","BUY","10,23,299","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","HDFC LIFE INSURANCE COMPANY LIMITED","SELL","3,63,500","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","HDFC LIFE INSURANCE COMPANY LIMITED","BUY","4,01,993","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","HDFC LIFE INSURANCE COMPANY LIMITED","SELL","41,349","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","ICICI PRUDENTIAL MUTUAL FUND","BUY","1,49,923","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","INVESCO MUTUAL FUND","BUY","6,65,531","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","M&G FUNDS (1) FRANKLIN TEMPLETON INDIA EQUITY FUND","BUY","11,075","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","MACE PRIVATE LIMITED","SELL","2,45,795","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","MACE PRIVATE LIMITED","SELL","4,82,590","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","MONETARY AUTHORITY OF SINGAPORE","BUY","2,36,922","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","NRJN FAMILY TRUST","SELL","4,50,000","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","SBI MUTUAL FUND","BUY","6,64,452","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","SOCIETE GENERALE","BUY","1,61,967","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","T ROWE PRICE FUNDS SICAV ASIAN EX JAPAN EQUITY FUND","BUY","11,191","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","T ROWE PRICE GLOBAL ALLOCATION FUND INC","BUY","890","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","T ROWE PRICE INTERNATIONAL DISCOVERY FUND","BUY","2,31,768","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","T ROWE PRICE INTERNATIONAL SMALLCAP EQUITY TRUST","BUY","51,952","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","T ROWE PRICE NEW ASIA FUND","BUY","1,67,026","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","T Rowe Price Emerging Markets Discovery Equities","BUY","289","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","XPONENTIA CAPITAL PARTNERS LLP","SELL","2,88,877","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","XPONENTIA OPPORTUNITIES FUND - II","SELL","9,92,434","3,010.00",
"24-SEP-2026","SEDEMAC","SEDEMAC Mechatronics Ltd","XPONENTIA OPPORTUNITIES LIMITED","SELL","4,04,421","3,010.00",
