"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"03-SEP-2025","AGARWALTUF","Agarwal Tough Glass Ind L","SN ENTERPRISES","BUY","1,33,200","149.30","-"
"03-SEP-2025","AHCL","Anlon Healthcare Limited","ASCENT WEALTH","BUY","7,00,000","92.00","-"
"03-SEP-2025","AHCL","Anlon Healthcare Limited","NEOMILE CORPORATE ADVISORY LIMITED","BUY","20,17,068","91.02","-"
"03-SEP-2025","AHCL","Anlon Healthcare Limited","NEOMILE GROWTH FUND - SERIES I","BUY","20,00,000","91.18","-"
"03-SEP-2025","AHCL","Anlon Healthcare Limited","NOVA GLOBAL OPPORTUNITIES FUND PCC - TOUCHSTONE","SELL","15,68,004","91.96","-"
"03-SEP-2025","AHCL","Anlon Healthcare Limited","PINE OAK GLOBAL FUND - CLASS B","SELL","9,04,918","91.00","-"
"03-SEP-2025","AHCL","Anlon Healthcare Limited","RELIGO COMMODITIES VENTURES FUND","SELL","7,31,735","91.00","-"
"03-SEP-2025","AHCL","Anlon Healthcare Limited","SUNRISE INVESTMENT OPPORTUNITIES FUND","SELL","11,48,933","91.00","-"
"03-SEP-2025","AHCL","Anlon Healthcare Limited","TRADE CORNER","BUY","5,00,000","92.00","-"
"03-SEP-2025","APOLLO","Apollo Micro Systems Ltd","HRTI PRIVATE LIMITED","SELL","20,54,842","298.11","-"
"03-SEP-2025","APOLLO","Apollo Micro Systems Ltd","HRTI PRIVATE LIMITED","BUY","21,60,474","298.99","-"
"03-SEP-2025","APOLLO","Apollo Micro Systems Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","17,77,485","299.60","-"
"03-SEP-2025","APOLLO","Apollo Micro Systems Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","17,77,485","297.21","-"
"03-SEP-2025","APOLLO","Apollo Micro Systems Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","24,74,567","298.72","-"
"03-SEP-2025","APOLLO","Apollo Micro Systems Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","24,74,567","298.97","-"
