"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"25-JUN-2024","ARE&M","Amara Raja Energy Mob Ltd","HRTI PRIVATE LIMITED","SELL","7,00,236","1,601.28","-"
"25-JUN-2024","ARE&M","Amara Raja Energy Mob Ltd","HRTI PRIVATE LIMITED","BUY","9,17,264","1,592.93","-"
"25-JUN-2024","ARE&M","Amara Raja Energy Mob Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","12,93,498","1,595.77","-"
"25-JUN-2024","ARE&M","Amara Raja Energy Mob Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","12,93,498","1,596.73","-"
"25-JUN-2024","ATULAUTO","Atul Auto Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","2,26,947","612.88","-"
"25-JUN-2024","ATULAUTO","Atul Auto Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","2,26,947","612.12","-"
"25-JUN-2024","ATULAUTO","Atul Auto Limited","PARITOSH RUNGTA","SELL","1,50,000","613.24","-"
"25-JUN-2024","ATULAUTO","Atul Auto Limited","PARITOSH RUNGTA","BUY","1,50,000","619.97","-"
"25-JUN-2024","BAIDFIN","Baid Finserv Limited","ARHAM WEALTH MANAGEMENT PRIVATE LIMITED","BUY","26,34,020","21.75","-"
"25-JUN-2024","BAIDFIN","Baid Finserv Limited","ARHAM WEALTH MANAGEMENT PRIVATE LIMITED","SELL","26,34,020","20.75","-"
"25-JUN-2024","BAIDFIN","Baid Finserv Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","SELL","6,50,000","22.84","-"
"25-JUN-2024","BAIDFIN","Baid Finserv Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","BUY","6,50,010","22.98","-"
"25-JUN-2024","BAIDFIN","Baid Finserv Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","5,00,013","20.90","-"
"25-JUN-2024","BAIDFIN","Baid Finserv Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","7,00,013","22.92","-"
"25-JUN-2024","BAIDFIN","Baid Finserv Limited","SETU SECURITIES PVT LTD","BUY","10,31,454","22.82","-"
"25-JUN-2024","BAIDFIN","Baid Finserv Limited","SETU SECURITIES PVT LTD","SELL","10,89,957","22.77","-"
"25-JUN-2024","BTML","Bodhi Tree Multimedia Ltd","L7 HITECH PRIVATE LIMITED","SELL","8,00,000","13.70","-"
"25-JUN-2024","BTML","Bodhi Tree Multimedia Ltd","RADIANT COMPUTECH PRIVATE LIMITED","BUY","8,00,000","13.70","-"
"25-JUN-2024","CELLECOR","Cellecor Gadgets Limited","SAHASTRAA ADVISORS PRIVATE LIMITED","BUY","1,18,800","325.10","-"
"25-JUN-2024","CELLECOR","Cellecor Gadgets Limited","SAHASTRAA ADVISORS PRIVATE LIMITED","SELL","1,44,000","324.99","-"
"25-JUN-2024","CRAFTSMAN","Craftsman Automation Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","1,65,223","5,355.93","-"
"25-JUN-2024","CRAFTSMAN","Craftsman Automation Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","1,65,223","5,350.86","-"
"25-JUN-2024","DCBBANK","Dcb Bank Limited","DSP MUTUAL FUND","SELL","17,00,000","140.15","-"
"25-JUN-2024","DCBBANK","Dcb Bank Limited","INDIA FIRST LIFE INSURANCE COMPANY LIMITED","BUY","20,23,000","140.15","-"
"25-JUN-2024","DODLA","Dodla Dairy Limited","MYLKTREE CONSULTANTS LLP","SELL","7,36,000","1,000.00","-"
"25-JUN-2024","DODLA","Dodla Dairy Limited","PINEBRIDGE INV ASIA LIMITED A/C PB GLOBAL FUNDS-PINEBRIDGE INDIA EQ FUND","BUY","8,25,000","1,000.00","-"
"25-JUN-2024","EXIDEIND","Exide Industries Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","44,11,009","596.89","-"
"25-JUN-2024","EXIDEIND","Exide Industries Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","45,11,809","596.75","-"
"25-JUN-2024","FELIX","Felix Industries Ltd.","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","23,000","293.00","-"
"25-JUN-2024","FELIX","Felix Industries Ltd.","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","1,28,500","293.39","-"
"25-JUN-2024","GLOBE","Globe Textiles (I) Ltd.","EMPOWER INDIA LIMITED","SELL","33,73,363","3.26","-"
"25-JUN-2024","GRSE","Garden Reach Ship","GRAVITON RESEARCH CAPITAL LLP","SELL","9,85,619","1,894.65","-"
"25-JUN-2024","GRSE","Garden Reach Ship","GRAVITON RESEARCH CAPITAL LLP","BUY","9,85,619","1,893.54","-"
"25-JUN-2024","GRSE","Garden Reach Ship","HRTI PRIVATE LIMITED","SELL","5,57,571","1,919.58","-"
"25-JUN-2024","GRSE","Garden Reach Ship","HRTI PRIVATE LIMITED","BUY","7,49,981","1,911.35","-"
"25-JUN-2024","GRSE","Garden Reach Ship","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","9,54,872","1,938.43","-"
"25-JUN-2024","GRSE","Garden Reach Ship","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","9,54,872","1,939.28","-"
"25-JUN-2024","GSMFOILS","GSM Foils Limited","HI GROWTH CORPORATE SERVICES PVT LTD","BUY","1,40,000","47.89","-"
"25-JUN-2024","GSMFOILS","GSM Foils Limited","HI GROWTH CORPORATE SERVICES PVT LTD","SELL","1,48,000","48.50","-"
"25-JUN-2024","GSMFOILS","GSM Foils Limited","RAJ KAMAL JAIN","SELL","76,000","45.10","-"
"25-JUN-2024","GSMFOILS","GSM Foils Limited","YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .","SELL","68,000","53.51","-"
"25-JUN-2024","GSMFOILS","GSM Foils Limited","YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .","BUY","1,08,000","53.63","-"
"25-JUN-2024","HAPPSTMNDS","Happiest Minds Techno Ltd","MANSI SHARE AND STOCK ADVISORS PVT LTD","BUY","3,30,299","844.81","-"
"25-JUN-2024","HAPPSTMNDS","Happiest Minds Techno Ltd","MANSI SHARE AND STOCK ADVISORS PVT LTD","SELL","11,59,855","842.56","-"
"25-JUN-2024","HAPPSTMNDS","Happiest Minds Techno Ltd","PRB SECURITIES PVT LTD","BUY","18,712","841.27","-"
"25-JUN-2024","HAPPSTMNDS","Happiest Minds Techno Ltd","PRB SECURITIES PVT LTD","SELL","9,12,355","843.92","-"
"25-JUN-2024","HAPPSTMNDS","Happiest Minds Techno Ltd","QE SECURITIES LLP","BUY","8,44,172","842.45","-"
"25-JUN-2024","HAPPSTMNDS","Happiest Minds Techno Ltd","QE SECURITIES LLP","SELL","9,97,138","842.96","-"
"25-JUN-2024","HILTON","Hilton Metal Forging Limi","ELAN VENTURES PRIVATE LIMITED","BUY","2,13,780","103.65","-"
"25-JUN-2024","HILTON","Hilton Metal Forging Limi","ELAN VENTURES PRIVATE LIMITED","SELL","2,13,780","103.38","-"
"25-JUN-2024","HILTON","Hilton Metal Forging Limi","RAJ RATAN COMMODITIES PRIVATE LIMITED","BUY","3,09,260","103.75","-"
"25-JUN-2024","HILTON","Hilton Metal Forging Limi","RAJ RATAN COMMODITIES PRIVATE LIMITED","SELL","3,09,260","103.56","-"
"25-JUN-2024","IXIGO","Le Travenues Technology L","STEADVIEW CAPITAL MASTER FUND LTD.","BUY","20,13,000","163.83","-"
"25-JUN-2024","JWL","Jupiter Wagons Limited","COPTHALL MAURITIUS INVESTMENT LTD","BUY","32,79,827","652.00","-"
"25-JUN-2024","K2INFRA","K2 Infragen Limited","LIESHA CORPORATION PRIVATE LIMITED .","BUY","1,16,400","290.12","-"
"25-JUN-2024","K2INFRA","K2 Infragen Limited","LIESHA CORPORATION PRIVATE LIMITED .","SELL","1,44,000","287.63","-"
"25-JUN-2024","K2INFRA","K2 Infragen Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","SELL","69,600","289.70","-"
"25-JUN-2024","K2INFRA","K2 Infragen Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","BUY","85,200","290.20","-"
"25-JUN-2024","K2INFRA","K2 Infragen Limited","SOHAM FINCARE INDIA LLP","BUY","80,400","283.23","-"
"25-JUN-2024","K2INFRA","K2 Infragen Limited","SOHAM FINCARE INDIA LLP","SELL","82,800","284.37","-"
"25-JUN-2024","K2INFRA","K2 Infragen Limited","YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .","SELL","66,000","288.01","-"
"25-JUN-2024","K2INFRA","K2 Infragen Limited","YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .","BUY","66,000","290.04","-"
"25-JUN-2024","KAMOPAINTS","Kamdhenu Ventures Limited","SKSE SECURITIES LTD","BUY","20,34,708","40.47","-"
"25-JUN-2024","KAMOPAINTS","Kamdhenu Ventures Limited","SKSE SECURITIES LTD","SELL","20,34,708","41.11","-"
"25-JUN-2024","KANANIIND","Kanani Industries Ltd","HARSHIL PREMJIBHAI KANANI","SELL","14,49,841","3.01","-"
"25-JUN-2024","KRYSTAL","Krystal Integrated Ser L","GRAVITON RESEARCH CAPITAL LLP","BUY","95,464","854.14","-"
"25-JUN-2024","KRYSTAL","Krystal Integrated Ser L","GRAVITON RESEARCH CAPITAL LLP","SELL","95,464","856.78","-"
"25-JUN-2024","KRYSTAL","Krystal Integrated Ser L","SHUBHAM ASHOKBHAI PATEL","BUY","1,32,541","858.56","-"
"25-JUN-2024","KRYSTAL","Krystal Integrated Ser L","SHUBHAM ASHOKBHAI PATEL","SELL","1,32,541","857.36","-"
"25-JUN-2024","KSHITI-RE","Kshitij Polyline Limited","MUSKAN JAIN","BUY","5,00,000","0.50","-"
"25-JUN-2024","KSHITI-RE","Kshitij Polyline Limited","ZENAB AIYUB YACOOBALI","SELL","2,70,000","0.50","-"
"25-JUN-2024","LEXUS","Lexus Granito (India) Ltd","INDRA KIRAN VENTURES","SELL","1,16,887","48.18","-"
"25-JUN-2024","LEXUS","Lexus Granito (India) Ltd","INDRA KIRAN VENTURES","BUY","1,41,887","47.97","-"
"25-JUN-2024","LEXUS","Lexus Granito (India) Ltd","JAIN POOJA","SELL","2,06,000","47.98","-"
"25-JUN-2024","LEXUS","Lexus Granito (India) Ltd","JAIN POOJA","BUY","2,16,000","48.10","-"
"25-JUN-2024","LEXUS","Lexus Granito (India) Ltd","SETU SECURITIES PVT LTD","SELL","1,88,911","48.18","-"
"25-JUN-2024","LEXUS","Lexus Granito (India) Ltd","SETU SECURITIES PVT LTD","BUY","1,88,911","48.04","-"
"25-JUN-2024","MOHITIND","Mohit Industries Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","1,54,320","34.02","-"
"25-JUN-2024","MOHITIND","Mohit Industries Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","1,54,320","34.12","-"
