"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"08-JAN-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","5,75,456","293.01","-"
"08-JAN-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","7,50,335","298.07","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","CLT RESEARCH TECH PRIVATE LTD","BUY","1,89,324","1,198.30","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","CLT RESEARCH TECH PRIVATE LTD","SELL","1,89,324","1,199.40","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","2,22,568","1,208.34","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","2,22,568","1,205.90","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","IRAGE BROKING SERVICES LLP","SELL","2,08,653","1,207.02","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","IRAGE BROKING SERVICES LLP","BUY","2,63,057","1,206.88","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","2,42,464","1,202.13","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","2,42,655","1,201.45","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","5,29,310","1,200.40","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","5,29,310","1,201.29","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","MUSIGMA SECURITIES","BUY","3,00,000","1,198.41","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","MUSIGMA SECURITIES","SELL","3,00,000","1,198.77","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","5,88,576","1,202.57","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","5,88,576","1,203.18","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","PACE STOCK BROKING SERVICES PVT LTD","SELL","1,82,854","1,205.56","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","PACE STOCK BROKING SERVICES PVT LTD","BUY","1,82,854","1,204.54","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","QE SECURITIES LLP","BUY","2,03,074","1,193.18","-"
"08-JAN-2026","BALAMINES","Balaji Amines Limited","QE SECURITIES LLP","SELL","2,04,478","1,194.31","-"
"08-JAN-2026","BLISSGVS","Bliss GVS Pharma Ltd","HRTI PRIVATE LIMITED","SELL","8,67,983","184.26","-"
"08-JAN-2026","BLISSGVS","Bliss GVS Pharma Ltd","HRTI PRIVATE LIMITED","BUY","8,69,218","184.10","-"
"08-JAN-2026","BLISSGVS","Bliss GVS Pharma Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","8,75,801","184.64","-"
"08-JAN-2026","BLISSGVS","Bliss GVS Pharma Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","8,75,860","184.72","-"
"08-JAN-2026","BLISSGVS","Bliss GVS Pharma Ltd","QE SECURITIES LLP","SELL","5,49,160","184.18","-"
"08-JAN-2026","BLISSGVS","Bliss GVS Pharma Ltd","QE SECURITIES LLP","BUY","5,66,079","184.59","-"
"08-JAN-2026","DEEDEV","DEE Development Eng Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","6,24,026","229.40","-"
"08-JAN-2026","DEEDEV","DEE Development Eng Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","6,24,026","229.54","-"
"08-JAN-2026","DHRUV","Dhruv Consultancy Ser Ltd","MUKESH SHARMA","SELL","1,00,000","43.60","-"
"08-JAN-2026","DHRUV","Dhruv Consultancy Ser Ltd","MUKESH SHARMA FAMILY TRUST","BUY","1,00,000","43.60","-"
"08-JAN-2026","DREDGECORP","Dredging Corporation of I","MATHISYS ADVISORS LLP","BUY","1,40,289","999.73","-"
"08-JAN-2026","DREDGECORP","Dredging Corporation of I","MATHISYS ADVISORS LLP","SELL","1,40,529","993.26","-"
"08-JAN-2026","E2ERAIL","E To E Trans Infra Ltd","JAIN SANJAY POPATLAL","BUY","1,90,400","289.54","-"
"08-JAN-2026","E2ERAIL","E To E Trans Infra Ltd","MERU INVESTMENT FUND PCC- CELL 1","BUY","96,000","267.10","-"
"08-JAN-2026","E2ERAIL","E To E Trans Infra Ltd","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","2,08,800","289.31","-"
"08-JAN-2026","E2ERAIL","E To E Trans Infra Ltd","NEO APEX VENTURE LLP","SELL","35,200","284.48","-"
"08-JAN-2026","E2ERAIL","E To E Trans Infra Ltd","NEO APEX VENTURE LLP","BUY","2,07,200","267.10","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","46,696","1,762.28","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","46,696","1,761.79","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","GRT STRATEGIC VENTURES LLP","BUY","34,172","1,778.66","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","GRT STRATEGIC VENTURES LLP","SELL","34,172","1,780.02","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","HRTI PRIVATE LIMITED","BUY","59,756","1,731.28","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","HRTI PRIVATE LIMITED","SELL","60,438","1,738.00","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","IRAGE BROKING SERVICES LLP","SELL","53,717","1,765.67","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","IRAGE BROKING SERVICES LLP","BUY","65,910","1,764.50","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","53,523","1,766.94","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","53,951","1,764.30","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","MICROCURVES TRADING PRIVATE LIMITED","SELL","33,185","1,772.20","-"
"08-JAN-2026","EIMCOELECO","Eimco Elecon (India) Ltd.","MICROCURVES TRADING PRIVATE LIMITED","BUY","33,185","1,771.35","-"
